"Plant Name, Unit Number",NRC Reactor Unit Web Page ,Docket  Number,Location,NRC Region,Licensee,Reactor and Containment Type ,Nuclear Steam System Supplier and Design Type ,Architect-Engineer,Contructor,Construction Permit Issued,Operating License Issued,Commercial Operation,Renewed Operating License Issued,Operating License Expires,Licensed MWt,Note,2014 Capacity Factor (Percent),2013 Capacity Factor (Percent),2012 Capacity Factor (Percent),2011 Capacity Factor (Percent),2010 Capacity Factor (Percent),2009 Capacity Factor (Percent),2008 Capacity Factor (Percent),,2005 Capacity Factor (Percent),2004 Capacity Factor (Percent),2003 Capacity Factor (Percent)
"Dresden Nuclear Power Station, Unit 3",Dresden 3,5000249,"Morris, IL (25 M SW of Joliet, IL)",3,"Exelon Generation Co., LLC",BWR-MARK 1,GE 3,S&L,UE&C,10/14/66,1/12/71,11/16/71,10/28/04,1/12/31,2957,,0.95,0.89,0.91,0.99,0.9,0.97,0.93,,0.93,0.85,0.94
Duane Arnold Energy Center,Duane Arnold,5000331,"Palo, IA (8 MI NW of Cedar Rapids,ÊÊIA)",3,"NextEra Duane Arnold, LLC",BWR-MARK 1,GE 4,BECH,BECH,6/22/70,2/22/74,2/1/75,12/16/10,2/21/34,1912,,0.79,0.89,0.83,0.99,0.89,0.92,1.03,,0.89,1,0.81
"Edwin I. Hatch Nuclear Plant, Unit 1",Hatch 1,5000321,"Baxley , GA (20 MI S of Vidalia,ÊÊGA)",2,Southern Nuclear Operating Co. ,BWR-MARK 1,GE 4,BECH,GPC,9/30/69,10/13/74,12/31/75,1/15/02,8/6/34,2804,,0.89,0.94,0.89,0.98,0.85,0.94,0.84,,0.91,0.9,0.95
"Edwin I. Hatch Nuclear Plant, Unit 2",Hatch 2,5000366,"Baxley , GA (20 MI S of Vidalia,ÊÊGA)",2,Southern Nuclear Operating Co. ,BWR-MARK 1,GE 4,BECH,GPC,12/27/72,6/13/78,9/5/79,1/15/02,6/13/38,2804,,0.99,0.89,0.98,0.78,0.96,0.67,0.96,,0.87,0.97,0.9
"Fermi, Unit 2",Fermi 2,5000341,"Newport, MI (25 MI NE of Toledo,ÊÊOH)",3,DTE Electric Company,BWR-MARK 1,GE 4,S&L,DANI,9/26/72,7/15/85,1/23/88,N/A,3/20/25,3486,,0.82,0.62,0.54,0.94,0.8,0.75,0.98,,0.9,0.87,0.83
"Fort Calhoun Station, Unit 1",Fort Calhoun,5000285,"Fort Calhoun, NE (19 MI N of Omaha,ÊÊNE)",4,Omaha Public Power District,PWR-DRYAMB,CE,GHDR,GHDR,6/7/68,8/9/73,9/26/73,11/4/03,8/9/33,1500,,1,0.01,0,0.28,1.02,1,0.83,,0.7,0.97,0.84
"Grand Gulf Nuclear Station, Unit 1",Grand Gulf 1,5000416,"Port Gibson, MS (20 MI S of Vicksburg,ÊÊMS)",4,"Entergy Operations, Inc.",BWR-MARK 3,GE 6,BECH,BECH,9/4/74,11/1/84,7/1/85,N/A,11/1/24,4408,,0.82,0.86,0.7,0.94,0.88,1,0.86,,0.91,0.92,0.99
"H. B. Robinson Steam Electric Plant, Unit 2",Robinson 2,5000261,"Hartsville, SC (26 MI NW of Florence,ÊÊSC)",2,"Duke Energy Progress, Inc.",PWR-DRYAMB,WEST 3LP,EBSO,EBSO,4/13/67,7/31/70,3/7/71,4/19/04,7/31/30,2339,,0.86,0.85,0.85,1,0.57,1.04,0.87,,0.93,0.92,1.04
"Hope Creek Generating Station, Unit 1",Hope Creek 1,5000354,"Hancocks Bridge, NJ (18 MI SE of Wilmington,ÊÊDE)",1,"PSEG Nuclear, LLC",BWR-MARK 1,GE 4,BECH,BECH,11/4/74,7/25/86,12/20/86,7/20/11,4/11/46,3840,,1.02,0.8,0.93,1.03,0.93,0.95,1.08,,0.83,0.65,0.79
"Indian Point Nuclear Generating, Unit 2",Indian Point 2,5000247,"Buchanan, NY (24 MI N of New York,ÊÊNY)",1,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,10/14/66,9/28/73,8/1/74,N/A,9/28/13,3216,,0.93,0.77,0.9,0.98,0.82,0.98,0.91,,0.99,0.88,0.99
"Indian Point Nuclear Generating, Unit 3",Indian Point 3,5000286,"Buchanan, NY (24 MI N of New York,ÊÊNY)",1,"Entergy Nuclear Operations, Inc.",PWR-DRYAMB,WEST 4LP,UE&C,WDCO,8/13/69,12/12/75,8/30/76,N/A,12/12/15,3216,,0.98,0.94,1,0.9,0.99,0.85,1.07,,0.9,1.01,0.88
