Category,Item,Age,Year,Value
Food,"Food prep. by consumer unit, out-of-town trips",25 and 34,2009,31
Food,"Food prep. by consumer unit, out-of-town trips",25 and 34,2010,25
Food,"Food prep. by consumer unit, out-of-town trips",25 and 34,2011,33
Food,"Food prep. by consumer unit, out-of-town trips",25 and 34,2012,40
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2003,43
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2004,44
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2005,42
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2006,45
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2007,50
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2008,51
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2009,51
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2010,53
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2011,48
Food,"Food prep. by consumer unit, out-of-town trips",35 and 44,2012,47
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2003,43
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2004,49
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2005,47
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2006,53
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2007,50
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2008,57
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2009,62
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2010,48
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2011,58
Food,"Food prep. by consumer unit, out-of-town trips",45 and 54,2012,66
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2003,47
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2004,69
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2005,58
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2006,55
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2007,63
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2008,74
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2009,68
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2010,56
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2011,64
Food,"Food prep. by consumer unit, out-of-town trips",55 and 64,2012,64
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2003,39
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2004,45
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2005,51
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2006,51
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2007,49
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2008,57
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2009,56
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2010,63
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2011,62
Food,"Food prep. by consumer unit, out-of-town trips",65 and 74,2012,65
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2003,19
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2004,18
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2005,29
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2006,18
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2007,16
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2008,24
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2009,27
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2010,23
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2011,21
Food,"Food prep. by consumer unit, out-of-town trips",75 and over,2012,24
Housing,Property taxes,0 to 25,2003,230
Housing,Property taxes,0 to 25,2004,236
Housing,Property taxes,0 to 25,2005,287
Housing,Property taxes,0 to 25,2006,358
Housing,Property taxes,0 to 25,2007,325
Housing,Property taxes,0 to 25,2008,282
Housing,Property taxes,0 to 25,2009,324
Housing,Property taxes,0 to 25,2010,252
Housing,Property taxes,0 to 25,2011,306
Housing,Property taxes,0 to 25,2012,318
Housing,Property taxes,25 and 34,2003,910
Housing,Property taxes,25 and 34,2004,909
Housing,Property taxes,25 and 34,2005,1027
Housing,Property taxes,25 and 34,2006,1191
Housing,Property taxes,25 and 34,2007,1076
Housing,Property taxes,25 and 34,2008,1059
Housing,Property taxes,25 and 34,2009,1130
Housing,Property taxes,25 and 34,2010,1108
Housing,Property taxes,25 and 34,2011,1072
Housing,Property taxes,25 and 34,2012,1024
Housing,Property taxes,35 and 44,2003,1479
Housing,Property taxes,35 and 44,2004,1562
Housing,Property taxes,35 and 44,2005,1760
Housing,Property taxes,35 and 44,2006,1937
Housing,Property taxes,35 and 44,2007,1950
Housing,Property taxes,35 and 44,2008,1965
Housing,Property taxes,35 and 44,2009,2022
Housing,Property taxes,35 and 44,2010,1975
Housing,Property taxes,35 and 44,2011,1930
Housing,Property taxes,35 and 44,2012,1910
Housing,Property taxes,45 and 54,2003,1625
Housing,Property taxes,45 and 54,2004,1747
Housing,Property taxes,45 and 54,2005,1940
Housing,Property taxes,45 and 54,2006,2032
Housing,Property taxes,45 and 54,2007,2178
Housing,Property taxes,45 and 54,2008,2185
Housing,Property taxes,45 and 54,2009,2296
Housing,Property taxes,45 and 54,2010,2295
Housing,Property taxes,45 and 54,2011,2300
Housing,Property taxes,45 and 54,2012,2332
Housing,Property taxes,55 and 64,2003,1770
Housing,Property taxes,55 and 64,2004,1760
Housing,Property taxes,55 and 64,2005,1883
Housing,Property taxes,55 and 64,2006,1919
Housing,Property taxes,55 and 64,2007,2127
Housing,Property taxes,55 and 64,2008,2284
Housing,Property taxes,55 and 64,2009,2234
Housing,Property taxes,55 and 64,2010,2216
Housing,Property taxes,55 and 64,2011,2301
Housing,Property taxes,55 and 64,2012,2310
Housing,Property taxes,65 and 74,2003,1472
Housing,Property taxes,65 and 74,2004,1534
Housing,Property taxes,65 and 74,2005,1659
Housing,Property taxes,65 and 74,2006,1768
Housing,Property taxes,65 and 74,2007,1767
Housing,Property taxes,65 and 74,2008,1865
Housing,Property taxes,65 and 74,2009,1950
Housing,Property taxes,65 and 74,2010,2125
Housing,Property taxes,65 and 74,2011,2243
Housing,Property taxes,65 and 74,2012,2148
Housing,Property taxes,75 and over,2003,1325
Housing,Property taxes,75 and over,2004,1302
Housing,Property taxes,75 and over,2005,1387
Housing,Property taxes,75 and over,2006,1368
Housing,Property taxes,75 and over,2007,1529
Housing,Property taxes,75 and over,2008,1657
Housing,Property taxes,75 and over,2009,1622
Housing,Property taxes,75 and over,2010,1687
Housing,Property taxes,75 and over,2011,1765
Housing,Property taxes,75 and over,2012,1787
Transportation,Vehicle insurance,0 to 25,2003,504
Transportation,Vehicle insurance,0 to 25,2004,535
Transportation,Vehicle insurance,0 to 25,2005,626
Transportation,Vehicle insurance,0 to 25,2006,548
Transportation,Vehicle insurance,0 to 25,2007,492
Transportation,Vehicle insurance,0 to 25,2008,427
Transportation,Vehicle insurance,0 to 25,2009,465
Transportation,Vehicle insurance,0 to 25,2010,498
Transportation,Vehicle insurance,0 to 25,2011,505
Transportation,Vehicle insurance,0 to 25,2012,471
Transportation,Vehicle insurance,25 and 34,2003,910
Transportation,Vehicle insurance,25 and 34,2004,944
Transportation,Vehicle insurance,25 and 34,2005,888
Transportation,Vehicle insurance,25 and 34,2006,822
Transportation,Vehicle insurance,25 and 34,2007,802
Transportation,Vehicle insurance,25 and 34,2008,856
Transportation,Vehicle insurance,25 and 34,2009,837
Transportation,Vehicle insurance,25 and 34,2010,741
Transportation,Vehicle insurance,25 and 34,2011,957
Transportation,Vehicle insurance,25 and 34,2012,785
Transportation,Vehicle insurance,35 and 44,2003,997
Transportation,Vehicle insurance,35 and 44,2004,1068
Transportation,Vehicle insurance,35 and 44,2005,1008
Transportation,Vehicle insurance,35 and 44,2006,976
Transportation,Vehicle insurance,35 and 44,2007,1173
Transportation,Vehicle insurance,35 and 44,2008,1100
Transportation,Vehicle insurance,35 and 44,2009,1055
Transportation,Vehicle insurance,35 and 44,2010,1074
Transportation,Vehicle insurance,35 and 44,2011,920
Transportation,Vehicle insurance,35 and 44,2012,911
Transportation,Vehicle insurance,45 and 54,2003,1197
Transportation,Vehicle insurance,45 and 54,2004,1273
Transportation,Vehicle insurance,45 and 54,2005,1159
Transportation,Vehicle insurance,45 and 54,2006,1105
Transportation,Vehicle insurance,45 and 54,2007,1382
Transportation,Vehicle insurance,45 and 54,2008,1514
Transportation,Vehicle insurance,45 and 54,2009,1406
Transportation,Vehicle insurance,45 and 54,2010,1262
Transportation,Vehicle insurance,45 and 54,2011,1201
Transportation,Vehicle insurance,45 and 54,2012,1268
Transportation,Vehicle insurance,55 and 64,2003,932
Transportation,Vehicle insurance,55 and 64,2004,973
Transportation,Vehicle insurance,55 and 64,2005,944
Transportation,Vehicle insurance,55 and 64,2006,941
Transportation,Vehicle insurance,55 and 64,2007,1214
Transportation,Vehicle insurance,55 and 64,2008,1223
Transportation,Vehicle insurance,55 and 64,2009,1307
Transportation,Vehicle insurance,55 and 64,2010,1181
Transportation,Vehicle insurance,55 and 64,2011,1089
Transportation,Vehicle insurance,55 and 64,2012,1372
Transportation,Vehicle insurance,65 and 74,2003,724
Transportation,Vehicle insurance,65 and 74,2004,825
Transportation,Vehicle insurance,65 and 74,2005,737
Transportation,Vehicle insurance,65 and 74,2006,806
Transportation,Vehicle insurance,65 and 74,2007,1321
Transportation,Vehicle insurance,65 and 74,2008,1106
Transportation,Vehicle insurance,65 and 74,2009,1214
Transportation,Vehicle insurance,65 and 74,2010,979
Transportation,Vehicle insurance,65 and 74,2011,950
Transportation,Vehicle insurance,65 and 74,2012,1007
Transportation,Vehicle insurance,75 and over,2003,555
Transportation,Vehicle insurance,75 and over,2004,600
Transportation,Vehicle insurance,75 and over,2005,577
Transportation,Vehicle insurance,75 and over,2006,568
Transportation,Vehicle insurance,75 and over,2007,597
Transportation,Vehicle insurance,75 and over,2008,1035
Transportation,Vehicle insurance,75 and over,2009,712
Transportation,Vehicle insurance,75 and over,2010,878
Transportation,Vehicle insurance,75 and over,2011,829
Transportation,Vehicle insurance,75 and over,2012,843
Alcohol,Alcoholic beverages,0 to 25,2003,509
Alcohol,Alcoholic beverages,0 to 25,2004,503
Alcohol,Alcoholic beverages,0 to 25,2005,401
Alcohol,Alcoholic beverages,0 to 25,2006,473
Alcohol,Alcoholic beverages,0 to 25,2007,461
Alcohol,Alcoholic beverages,0 to 25,2008,448
Alcohol,Alcoholic beverages,0 to 25,2009,344
Alcohol,Alcoholic beverages,0 to 25,2010,406
Alcohol,Alcoholic beverages,0 to 25,2011,418
Alcohol,Alcoholic beverages,0 to 25,2012,354
Alcohol,Alcoholic beverages,25 and 34,2003,446
Alcohol,Alcoholic beverages,25 and 34,2004,522
Alcohol,Alcoholic beverages,25 and 34,2005,478
Alcohol,Alcoholic beverages,25 and 34,2006,657
Alcohol,Alcoholic beverages,25 and 34,2007,514
Alcohol,Alcoholic beverages,25 and 34,2008,491
Alcohol,Alcoholic beverages,25 and 34,2009,481
Alcohol,Alcoholic beverages,25 and 34,2010,473
Alcohol,Alcoholic beverages,25 and 34,2011,513
Alcohol,Alcoholic beverages,25 and 34,2012,564
Alcohol,Alcoholic beverages,35 and 44,2003,424
Alcohol,Alcoholic beverages,35 and 44,2004,535
Alcohol,Alcoholic beverages,35 and 44,2005,511
Alcohol,Alcoholic beverages,35 and 44,2006,496
Alcohol,Alcoholic beverages,35 and 44,2007,469
Alcohol,Alcoholic beverages,35 and 44,2008,462
Alcohol,Alcoholic beverages,35 and 44,2009,498
Alcohol,Alcoholic beverages,35 and 44,2010,497
Alcohol,Alcoholic beverages,35 and 44,2011,497
Alcohol,Alcoholic beverages,35 and 44,2012,501
Alcohol,Alcoholic beverages,45 and 54,2003,477
Alcohol,Alcoholic beverages,45 and 54,2004,502
Alcohol,Alcoholic beverages,45 and 54,2005,458
Alcohol,Alcoholic beverages,45 and 54,2006,612
Alcohol,Alcoholic beverages,45 and 54,2007,498
Alcohol,Alcoholic beverages,45 and 54,2008,505
Alcohol,Alcoholic beverages,45 and 54,2009,502
Alcohol,Alcoholic beverages,45 and 54,2010,414
Alcohol,Alcoholic beverages,45 and 54,2011,494
Alcohol,Alcoholic beverages,45 and 54,2012,454
Alcohol,Alcoholic beverages,55 and 64,2003,372
Alcohol,Alcoholic beverages,55 and 64,2004,457
Alcohol,Alcoholic beverages,55 and 64,2005,454
Alcohol,Alcoholic beverages,55 and 64,2006,477
Alcohol,Alcoholic beverages,55 and 64,2007,533
Alcohol,Alcoholic beverages,55 and 64,2008,525
Alcohol,Alcoholic beverages,55 and 64,2009,440
Alcohol,Alcoholic beverages,55 and 64,2010,402
Alcohol,Alcoholic beverages,55 and 64,2011,468
Alcohol,Alcoholic beverages,55 and 64,2012,493
Alcohol,Alcoholic beverages,65 and 74,2003,237
Alcohol,Alcoholic beverages,65 and 74,2004,329
Alcohol,Alcoholic beverages,65 and 74,2005,325
Alcohol,Alcoholic beverages,65 and 74,2006,339
Alcohol,Alcoholic beverages,65 and 74,2007,346
Alcohol,Alcoholic beverages,65 and 74,2008,343
Alcohol,Alcoholic beverages,65 and 74,2009,389
Alcohol,Alcoholic beverages,65 and 74,2010,392
Alcohol,Alcoholic beverages,65 and 74,2011,422
Alcohol,Alcoholic beverages,65 and 74,2012,407
Alcohol,Alcoholic beverages,75 and over,2003,128
Alcohol,Alcoholic beverages,75 and over,2004,190
Alcohol,Alcoholic beverages,75 and over,2005,167
Alcohol,Alcoholic beverages,75 and over,2006,184
Alcohol,Alcoholic beverages,75 and over,2007,218
Alcohol,Alcoholic beverages,75 and over,2008,144
Alcohol,Alcoholic beverages,75 and over,2009,188
Alcohol,Alcoholic beverages,75 and over,2010,184
Alcohol,Alcoholic beverages,75 and over,2011,241
Alcohol,Alcoholic beverages,75 and over,2012,201
Food,Bakery products,0 to 25,2003,160
Food,Bakery products,0 to 25,2004,166
Food,Bakery products,0 to 25,2005,167
Food,Bakery products,0 to 25,2006,146
Food,Bakery products,0 to 25,2007,180
Food,Bakery products,0 to 25,2008,178
Food,Bakery products,0 to 25,2009,183
Food,Bakery products,0 to 25,2010,209
Food,Bakery products,0 to 25,2011,222
Food,Bakery products,0 to 25,2012,211
Food,Bakery products,25 and 34,2003,265
Food,Bakery products,25 and 34,2004,280
Food,Bakery products,25 and 34,2005,249
Food,Bakery products,25 and 34,2006,263
Food,Bakery products,25 and 34,2007,282
Food,Bakery products,25 and 34,2008,286
Food,Bakery products,25 and 34,2009,296
Food,Bakery products,25 and 34,2010,288
Food,Bakery products,25 and 34,2011,303
Food,Bakery products,25 and 34,2012,325
Food,Bakery products,35 and 44,2003,340
Food,Bakery products,35 and 44,2004,357
Food,Bakery products,35 and 44,2005,381
Food,Bakery products,35 and 44,2006,369
Food,Bakery products,35 and 44,2007,371
Food,Bakery products,35 and 44,2008,407
Food,Bakery products,35 and 44,2009,406
Food,Bakery products,35 and 44,2010,395
Food,Bakery products,35 and 44,2011,426
Food,Bakery products,35 and 44,2012,409
Food,Bakery products,45 and 54,2003,341
Food,Bakery products,45 and 54,2004,366
Food,Bakery products,45 and 54,2005,340
Food,Bakery products,45 and 54,2006,348
Food,Bakery products,45 and 54,2007,361
Food,Bakery products,45 and 54,2008,397
Food,Bakery products,45 and 54,2009,397
Food,Bakery products,45 and 54,2010,401
Food,Bakery products,45 and 54,2011,409
Food,Bakery products,45 and 54,2012,405
Food,Bakery products,55 and 64,2003,287
Food,Bakery products,55 and 64,2004,300
Food,Bakery products,55 and 64,2005,326
Food,Bakery products,55 and 64,2006,318
Food,Bakery products,55 and 64,2007,327
Food,Bakery products,55 and 64,2008,340
Food,Bakery products,55 and 64,2009,313
Food,Bakery products,55 and 64,2010,347
Food,Bakery products,55 and 64,2011,354
Food,Bakery products,55 and 64,2012,369
Food,Bakery products,65 and 74,2003,285
Food,Bakery products,65 and 74,2004,296
Food,Bakery products,65 and 74,2005,291
Food,Bakery products,65 and 74,2006,300
Food,Bakery products,65 and 74,2007,322
Food,Bakery products,65 and 74,2008,332
Food,Bakery products,65 and 74,2009,312
Food,Bakery products,65 and 74,2010,308
Food,Bakery products,65 and 74,2011,335
Food,Bakery products,65 and 74,2012,347
Food,Bakery products,75 and over,2003,248
Food,Bakery products,75 and over,2004,255
Food,Bakery products,75 and over,2005,229
Food,Bakery products,75 and over,2006,236
Food,Bakery products,75 and over,2007,252
Food,Bakery products,75 and over,2008,271
Food,Bakery products,75 and over,2009,290
Food,Bakery products,75 and over,2010,276
Food,Bakery products,75 and over,2011,319
Food,Bakery products,75 and over,2012,299
Food,Beef,0 to 25,2003,131
Food,Beef,0 to 25,2004,148
Food,Beef,0 to 25,2005,149
Food,Beef,0 to 25,2006,129
Food,Beef,0 to 25,2007,155
Food,Beef,0 to 25,2008,165
Food,Beef,0 to 25,2009,146
Food,Beef,0 to 25,2010,136
Food,Beef,0 to 25,2011,137
Food,Beef,0 to 25,2012,160
Food,Beef,25 and 34,2003,227
Food,Beef,25 and 34,2004,250
Food,Beef,25 and 34,2005,189
Food,Beef,25 and 34,2006,229
Food,Beef,25 and 34,2007,197
Food,Beef,25 and 34,2008,213
Food,Beef,25 and 34,2009,196
Food,Beef,25 and 34,2010,182
Food,Beef,25 and 34,2011,188
Food,Beef,25 and 34,2012,192
Food,Beef,35 and 44,2003,265
Food,Beef,35 and 44,2004,313
Food,Beef,35 and 44,2005,293
Food,Beef,35 and 44,2006,272
Food,Beef,35 and 44,2007,284
Food,Beef,35 and 44,2008,288
Food,Beef,35 and 44,2009,263
Food,Beef,35 and 44,2010,230
Food,Beef,35 and 44,2011,264
Food,Beef,35 and 44,2012,264
Food,Beef,45 and 54,2003,320
Food,Beef,45 and 54,2004,338
Food,Beef,45 and 54,2005,283
Food,Beef,45 and 54,2006,308
Food,Beef,45 and 54,2007,243
Food,Beef,45 and 54,2008,290
Food,Beef,45 and 54,2009,263
Food,Beef,45 and 54,2010,263
Food,Beef,45 and 54,2011,267
Food,Beef,45 and 54,2012,288
Food,Beef,55 and 64,2003,287
Food,Beef,55 and 64,2004,257
Food,Beef,55 and 64,2005,250
Food,Beef,55 and 64,2006,225
Food,Beef,55 and 64,2007,200
Food,Beef,55 and 64,2008,243
Food,Beef,55 and 64,2009,242
Food,Beef,55 and 64,2010,223
Food,Beef,55 and 64,2011,235
Food,Beef,55 and 64,2012,241
Food,Beef,65 and 74,2003,226
Food,Beef,65 and 74,2004,236
Food,Beef,65 and 74,2005,189
Food,Beef,65 and 74,2006,206
Food,Beef,65 and 74,2007,190
Food,Beef,65 and 74,2008,206
Food,Beef,65 and 74,2009,246
Food,Beef,65 and 74,2010,170
Food,Beef,65 and 74,2011,218
Food,Beef,65 and 74,2012,202
Food,Beef,75 and over,2003,128
Food,Beef,75 and over,2004,172
Food,Beef,75 and over,2005,108
Food,Beef,75 and over,2006,146
Food,Beef,75 and over,2007,156
Food,Beef,75 and over,2008,154
Food,Beef,75 and over,2009,133
Food,Beef,75 and over,2010,248
Food,Beef,75 and over,2011,149
Food,Beef,75 and over,2012,137
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2003,27
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2004,22
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2005,37
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2006,21
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2007,33
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2008,35
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2009,28
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2010,41
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2011,25
Apparel,"Apparel, Boys, 2 to 15",0 to 25,2012,27
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2003,117
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2004,120
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2005,115
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2006,135
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2007,112
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2008,115
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2009,116
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2010,104
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2011,100
Apparel,"Apparel, Boys, 2 to 15",25 and 34,2012,126
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2003,181
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2004,176
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2005,193
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2006,172
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2007,178
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2008,172
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2009,156
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2010,166
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2011,184
Apparel,"Apparel, Boys, 2 to 15",35 and 44,2012,193
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2003,95
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2004,87
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2005,95
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2006,100
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2007,87
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2008,87
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2009,83
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2010,79
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2011,78
Apparel,"Apparel, Boys, 2 to 15",45 and 54,2012,93
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2003,41
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2004,53
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2005,38
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2006,46
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2007,35
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2008,37
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2009,34
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2010,39
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2011,43
Apparel,"Apparel, Boys, 2 to 15",55 and 64,2012,50
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2003,31
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2004,39
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2005,35
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2006,31
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2007,36
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2008,30
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2009,33
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2010,27
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2011,29
Apparel,"Apparel, Boys, 2 to 15",65 and 74,2012,28
Apparel,"Apparel, Boys, 2 to 15",75 and over,2003,10
Apparel,"Apparel, Boys, 2 to 15",75 and over,2004,9
Apparel,"Apparel, Boys, 2 to 15",75 and over,2005,7
Apparel,"Apparel, Boys, 2 to 15",75 and over,2006,10
Apparel,"Apparel, Boys, 2 to 15",75 and over,2007,8
Apparel,"Apparel, Boys, 2 to 15",75 and over,2008,7
Apparel,"Apparel, Boys, 2 to 15",75 and over,2009,16
Apparel,"Apparel, Boys, 2 to 15",75 and over,2010,18
Apparel,"Apparel, Boys, 2 to 15",75 and over,2011,16
Apparel,"Apparel, Boys, 2 to 15",75 and over,2012,9
Transportation,Vehicle maintenance and repairs,0 to 25,2003,352
Transportation,Vehicle maintenance and repairs,0 to 25,2004,400
Transportation,Vehicle maintenance and repairs,0 to 25,2005,444
Transportation,Vehicle maintenance and repairs,0 to 25,2006,400
Transportation,Vehicle maintenance and repairs,0 to 25,2007,437
Transportation,Vehicle maintenance and repairs,0 to 25,2008,412
