Community Area Name,Year,Infant Death
Gage Park,2007,6
Gage Park,2008,4
Gage Park,2009,5
Clearing,2005,2
Clearing,2006,1
Clearing,2007,1
Clearing,2008,4
Clearing,2009,3
West Lawn,2005,7
West Lawn,2006,4
West Lawn,2007,7
West Lawn,2008,6
West Lawn,2009,3
Chicago Lawn,2005,17
Chicago Lawn,2006,7
Chicago Lawn,2007,14
Chicago Lawn,2008,16
Chicago Lawn,2009,14
West Englewood,2005,12
West Englewood,2006,6
West Englewood,2007,10
West Englewood,2008,9
West Englewood,2009,15
Englewood,2005,6
Englewood,2006,11
Englewood,2007,10
Englewood,2008,10
Englewood,2009,8
Greater Grand Crossing,2005,11
Greater Grand Crossing,2006,9
Greater Grand Crossing,2007,6
Greater Grand Crossing,2008,11
Greater Grand Crossing,2009,5
Ashburn,2005,6
Ashburn,2006,9
Ashburn,2007,10
Ashburn,2008,4
Ashburn,2009,2
Auburn Gresham,2005,11
Auburn Gresham,2006,14
Auburn Gresham,2007,12
Auburn Gresham,2008,12
Auburn Gresham,2009,11
Beverly,2005,2
Beverly,2006,4
Beverly,2007,2
Beverly,2008,3
Beverly,2009,1
Washington Heights,2005,3
Washington Heights,2006,3
Washington Heights,2007,3
Washington Heights,2008,7
Washington Heights,2009,4
Mount Greenwood,2005,1
Mount Greenwood,2006,0
Mount Greenwood,2007,0
Mount Greenwood,2008,1
Mount Greenwood,2009,2
Morgan Park,2005,3
Morgan Park,2006,5
Morgan Park,2007,6
Morgan Park,2008,3
Morgan Park,2009,3
O'Hare,2005,0
O'Hare,2006,0
O'Hare,2007,0
O'Hare,2008,2
O'Hare,2009,0
Edgewater,2005,6
Edgewater,2006,2
Edgewater,2007,1
Edgewater,2008,4
Edgewater,2009,11
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
